player_id;first_name;last_name;full_name;short_name;international_name;country_code;position;detailed_field_position;age;birthdate;height;weight;image
85592;;Martins;Martins;Martins;Martins;POR;FORWARD;UNKNOWN;94.0;1927-09-03;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85592.jpg
92559;Milos;Milutinović;Milos Milutinović;Milutinović;Milos Milutinović;SRB;;UNKNOWN;89.0;1933-02-05;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/92559.jpg
87775;;Quim;Quim;Quim;Quim;POR;FORWARD;UNKNOWN;85.0;1936-05-28;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/87775.jpg
75606;Stjepan;Bobek;Stjepan Bobek;Bobek;Stjepan Bobek;SRB;;UNKNOWN;98.0;1923-12-03;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75606.jpg
85607;René;Vanderwilt;René Vanderwilt;Vanderwilt;René Vanderwilt;BEL;FORWARD;UNKNOWN;87.0;1934-05-23;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85607.jpg
80368;István;Szimcsák;István Szimcsák;I. Szimcsák;István Szimcsák;HUN;;UNKNOWN;88.0;1933-07-22;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/80368.jpg
80367;Péter;Palotás;Péter Palotás;Palotás;Péter Palotás;HUN;;;92.0;1929-06-27;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/80367.jpg
71678;Nándor;Hidegkuti;Nándor Hidegkuti;Hidegkuti;Nándor Hidegkuti;HUN;;;100.0;1922-03-03;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/71678.jpg
85605;Hippolyte;Van den Bosch;Hippolyte Van den Bosch;Van den Bosch;Hippolyte Van den Bosch;BEL;FORWARD;UNKNOWN;95.0;1926-04-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85605.jpg
38352;Károly;Sándor;Károly Sándor;Sándor;Károly Sándor;HUN;;;93.0;1928-11-26;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/38352.jpg
39998;Miguel;Muñoz;Miguel Muñoz;Muñoz;Miguel Muñoz;ESP;;UNKNOWN;100.0;1922-01-19;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/39998.jpg
71685;Hector;Rial;Hector Rial;Rial;Hector Rial;ESP;;;92.0;1929-10-14;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/71685.jpg
74987;Edward;Turnbull;Edward Turnbull;Turnbull;Edward Turnbull;SCO;DEFENDER;UNKNOWN;98.0;1923-04-12;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74987.jpg
74996;Lawrence;Reilly;Lawrence Reilly;Reilly;Lawrence Reilly;SCO;;UNKNOWN;93.0;1928-10-28;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74996.jpg
74989;William;Ormond;William Ormond;Ormond;William Ormond;SCO;FORWARD;UNKNOWN;95.0;1927-02-23;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74989.jpg
81695;Alfred;Körner;Alfred Körner;A. Körner;Alfred Körner;AUT;;UNKNOWN;96.0;1926-02-14;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81695.jpg
85652;Piet;Fransen;Piet Fransen;Fransen;Piet Fransen;NED;FORWARD;UNKNOWN;102.0;1919-10-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85652.jpg
81696;Bruno;Mehsarosch;Bruno Mehsarosch;Mehsarosch;Bruno Mehsarosch;AUT;;UNKNOWN;88.0;1934-03-09;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81696.jpg
35512;Gerhard;Hanappi;Gerhard Hanappi;Hanappi;Gerhard Hanappi;AUT;;;93.0;1929-02-16;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/35512.jpg
35517;Erich;Probst;Erich Probst;Probst;Erich Probst;AUT;;;94.0;1927-12-05;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/35517.jpg
85637;Léon;Glovacki;Léon Glovacki;Glovacki;Léon Glovacki;FRA;FORWARD;UNKNOWN;94.0;1928-02-19;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85637.jpg
85597;;Brandao de Castro;Brandao de Castro;Brandao de Castro;Brandao de Castro;POR;FORWARD;UNKNOWN;91.0;1931-01-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85597.jpg
92406;Stanoje;Jocić;Stanoje Jocić;Jocić;Stanoje Jocić;SRB;;UNKNOWN;89.0;1932-06-05;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/92406.jpg
38151;Alfredo;Di Stéfano;Alfredo Di Stéfano;Di Stéfano;Alfredo Di Stéfano;ESP;FORWARD;;95.0;1926-07-04;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/38151.jpg
74985;José;Iglesias;José Iglesias;Iglesias;José Iglesias;ESP;MIDFIELDER;UNKNOWN;95.0;1926-12-23;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74985.jpg
74980;Luis;Molowny;Luis Molowny;Molowny;Luis Molowny;ESP;FORWARD;UNKNOWN;96.0;1925-05-12;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74980.jpg
85622;John;Eriksson;John Eriksson;Eriksson;John Eriksson;SWE;FORWARD;UNKNOWN;93.0;1929-03-12;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85622.jpg
37623;Krzysztof;Baszkiewicz;Krzysztof Baszkiewicz;Baszkiewicz;Krzysztof Baszkiewicz;POL;;;89.0;1933-02-17;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/37623.jpg
85615;Gösta;Sandberg;Gösta Sandberg;Sandberg;Gösta Sandberg;SWE;FORWARD;UNKNOWN;89.0;1932-08-06;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85615.jpg
75000;John;Buchanan;John Buchanan;Buchanan;John Buchanan;SCO;;UNKNOWN;87.0;1935-01-03;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75000.jpg
81665;Fritz;Abromeit;Fritz Abromeit;Abromeit;Fritz Abromeit;GER;;UNKNOWN;98.0;1923-10-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81665.jpg
80366;Mihály;Lantos;Mihály Lantos;Lantos;Mihály Lantos;HUN;;;93.0;1928-09-29;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/80366.jpg
80363;Imre;Kovács I;Imre Kovács I;Kovács I;Imre Kovács I;HUN;;;100.0;1921-11-26;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/80363.jpg
85636;René;Bliard;René Bliard;Bliard;René Bliard;FRA;FORWARD;UNKNOWN;89.0;1932-10-19;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85636.jpg
85625;Erik;Jensen;Erik Jensen;Jensen;Erik Jensen;DEN;MIDFIELDER;UNKNOWN;90.0;1932-03-02;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85625.jpg
85626;Henning;Bjerregaard;Henning Bjerregaard;Bjerregaard;Henning Bjerregaard;DEN;FORWARD;UNKNOWN;95.0;1927-03-06;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85626.jpg
81705;Peter;Krieger;Peter Krieger;Krieger;Peter Krieger;GER;;UNKNOWN;92.0;1929-11-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81705.jpg
75009;Amleto;Frignani;Amleto Frignani;Frignani;Amleto Frignani;ITA;FORWARD;UNKNOWN;90.0;1932-03-05;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75009.jpg
71686;Pepe;Schiaffino;Pepe Schiaffino;Pepe;Pepe Schiaffino;ITA;;;96.0;1925-07-28;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/71686.jpg
75006;Giorgio;Dal Monte;Giorgio Dal Monte;Dal Monte;Giorgio Dal Monte;ITA;MIDFIELDER;UNKNOWN;90.0;1931-05-04;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75006.jpg
81709;Waldemar;Philippi;Waldemar Philippi;Philippi;Waldemar Philippi;GER;;UNKNOWN;92.0;1929-04-13;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81709.jpg
81711;Karlheinz;Schirra;Karlheinz Schirra;Schirra;Karlheinz Schirra;GER;;UNKNOWN;93.0;1928-10-16;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81711.jpg
81706;Herbert;Martin;Herbert Martin;Martin;Herbert Martin;GER;;UNKNOWN;96.0;1925-08-29;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81706.jpg
75011;Valentino;Valli;Valentino Valli;Valli;Valentino Valli;ITA;FORWARD;UNKNOWN;92.0;1929-12-01;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75011.jpg
81713;Herbert;Binkert;Herbert Binkert;Binkert;Herbert Binkert;GER;;UNKNOWN;98.0;1923-09-03;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81713.jpg
81710;Theodor;Puff;Theodor Puff;Puff;Theodor Puff;GER;;UNKNOWN;94.0;1927-11-21;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81710.jpg
75015;Eros;Beraldo;Eros Beraldo;Beraldo;Eros Beraldo;ITA;DEFENDER;UNKNOWN;92.0;1929-07-27;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75015.jpg
85621;Birger;Eklund;Birger Eklund;Eklund;Birger Eklund;SWE;FORWARD;UNKNOWN;92.0;1929-10-22;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85621.jpg
74991;Robert;Combe;Robert Combe;Combe;Robert Combe;SCO;;UNKNOWN;98.0;1924-01-29;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74991.jpg
85620;Åke;Olsson;Åke Olsson;Olsson;Åke Olsson;SWE;MIDFIELDER;UNKNOWN;95.0;1926-04-09;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85620.jpg
85641;Michel;Leblond;Michel Leblond;Leblond;Michel Leblond;FRA;FORWARD;UNKNOWN;89.0;1932-05-10;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85641.jpg
80369;István;Szolnok;István Szolnok;Szolnok;István Szolnok;HUN;;;90.0;1932-01-13;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/80369.jpg
75019;Heliodoro;Castaño;Heliodoro Castaño;Castaño;Heliodoro Castaño;ESP;DEFENDER;UNKNOWN;88.0;1933-04-05;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75019.jpg
38101;Francisco;Gento;Francisco Gento;Gento;Francisco Gento;ESP;;;88.0;1933-10-21;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/38101.jpg
85642;Jean;Templin;Jean Templin;Templin;Jean Templin;FRA;FORWARD;UNKNOWN;93.0;1928-12-14;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/85642.jpg
71681;Gunnar;Nordahl;Gunnar Nordahl;Nordahl;Gunnar Nordahl;SWE;FORWARD;;100.0;1921-10-19;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/71681.jpg
92400;Prvoslav;Mihajlovic;Prvoslav Mihajlovic;Mihajlovic;Prvoslav Mihajlovic;SRB;;;100.0;1921-04-13;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/92400.jpg
75023;Amos;Mariani;Amos Mariani;Mariani;Amos Mariani;ITA;FORWARD;UNKNOWN;90.0;1931-03-30;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75023.jpg
75024;Eduardo;Ricagni;Eduardo Ricagni;Ricagni;Eduardo Ricagni;ARG;FORWARD;UNKNOWN;95.0;1926-04-29;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75024.jpg
81700;Franz;Golobic;Franz Golobic;Golobic;Franz Golobic;AUT;;UNKNOWN;99.0;1922-12-22;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81700.jpg
81699;Robert;Dienst;Robert Dienst;Dienst;Robert Dienst;AUT;;UNKNOWN;94.0;1928-03-01;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/81699.jpg
75020;Roque;Olsen;Roque Olsen;Olsen;Roque Olsen;ARG;MIDFIELDER;UNKNOWN;96.0;1925-09-09;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/75020.jpg
39395;Michel;Hidalgo;Michel Hidalgo;Hidalgo;Michel Hidalgo;FRA;;;89.0;1933-03-22;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/39395.jpg
74983;;Marquitos;Marquitos;Marquitos;Marquitos;ESP;DEFENDER;UNKNOWN;88.0;1933-04-16;;;https://img.uefa.com/imgml/TP/players/1/1955/324x324/74983.jpg
85665;Marc;Boreux;Marc Boreux;Boreux;Marc Boreux;LUX;FORWARD;UNKNOWN;95.0;1926-11-30;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85665.jpg
81719;Helmut;Bracht;Helmut Bracht;Bracht;Helmut Bracht;GER;;UNKNOWN;92.0;1929-09-11;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81719.jpg
81724;Alfred;Niepieklo;Alfred Niepieklo;Niepieklo;Alfred Niepieklo;GER;;UNKNOWN;94.0;1927-06-11;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81724.jpg
81726;Alfred;Preissler;Alfred Preissler;Preissler;Alfred Preissler;GER;;UNKNOWN;100.0;1921-04-09;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81726.jpg
85154;Gheorghe;Voica;Gheorghe Voica;Voica;Gheorghe Voica;ROU;FORWARD;UNKNOWN;88.0;1933-12-17;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85154.jpg
75038;Güngör;Okay;Güngör Okay;Okay;Güngör Okay;TUR;FORWARD;UNKNOWN;86.0;1935-08-11;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/75038.jpg
85152;Alexandru;Ene;Alexandru Ene;Ene;Alexandru Ene;ROU;FORWARD;UNKNOWN;93.0;1928-09-19;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85152.jpg
36884;Jean-Pierre;Fiedler;Jean-Pierre Fiedler;Fiedler;Jean-Pierre Fiedler;LUX;;;87.0;1935-01-26;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/36884.jpg
85666;Léon;Letsch;Léon Letsch;Letsch;Léon Letsch;LUX;FORWARD;UNKNOWN;94.0;1927-05-20;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85666.jpg
75052;Dennis;Viollet;Dennis Viollet;Viollet;Dennis Viollet;ENG;FORWARD;UNKNOWN;88.0;1933-09-20;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/75052.jpg
250116964;Thomas;Taylor;Thomas Taylor;Taylor;Thomas Taylor;ENG;FORWARD;;90.0;1932-01-29;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/250116964.jpg
81744;Emil;Pazicky;Emil Pazicky;Pazicky;Emil Pazicky;SVK;;UNKNOWN;94.0;1927-10-14;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81744.jpg
81743;Július;Kovác;Július Kovác;Kovác;Július Kovác;SVK;;UNKNOWN;95.0;1927-01-01;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81743.jpg
35574;Anton;Moravčík;Anton Moravčík;Moravčík;Anton Moravčík;TCH;;;90.0;1931-06-03;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/35574.jpg
81731;Heinz;Simmer;Heinz Simmer;Simmer;Heinz Simmer;GER;;UNKNOWN;86.0;1935-12-30;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81731.jpg
81722;Alfred;Kelbassa;Alfred Kelbassa;Kelbassa;Alfred Kelbassa;GER;;UNKNOWN;96.0;1925-04-21;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81722.jpg
81725;Wolfgang;Peters;Wolfgang Peters;Peters;Wolfgang Peters;GER;;UNKNOWN;93.0;1929-01-08;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81725.jpg
81735;Edmund;Kowal;Edmund Kowal;Kowal;Edmund Kowal;POL;;UNKNOWN;87.0;1935-02-16;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/81735.jpg
37597;Lucjan;Brychczy;Lucjan Brychczy;Brychczy;Lucjan Brychczy;POL;;;87.0;1934-06-13;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/37597.jpg
85625;Erik;Jensen;Erik Jensen;Jensen;Erik Jensen;DEN;MIDFIELDER;UNKNOWN;90.0;1932-03-02;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85625.jpg
85679;Jacques;Foix;Jacques Foix;Foix;Jacques Foix;FRA;FORWARD;UNKNOWN;91.0;1930-11-26;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85679.jpg
75063;Agustin;Gainza;Agustin Gainza;Gainza;Agustin Gainza;ESP;FORWARD;UNKNOWN;99.0;1922-05-28;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/75063.jpg
85689;José Maria;Matos;José Maria Matos;Matos;José Maria Matos;POR;FORWARD;UNKNOWN;91.0;1930-10-15;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/85689.jpg
75057;;Canito;Canito;Canito;Canito;ESP;DEFENDER;UNKNOWN;91.0;1931-03-18;;;https://img.uefa.com/imgml/TP/players/1/1956/324x324/75057.jpg
