id;name;country_code;city;address;lat;long;capacity;image
62256;Marienlyst;NOR;Drammen;Knoffsgt;59.7344111;10.2013194;6545.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/62256.jpg
250001811;Nagyerdei Stadion;HUN;Debrecen;Nagyerdei Park 12;47.549444;21.638889;20453.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250001811.jpg
76106;Helsinki Football Stadium;FIN;Helsinki;Urheilukatu 5;60.186969;24.927181;9986.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/76106.jpg
250002442;Estadio de San Mamés;ESP;Bilbao;Luis Briñas Kalea 7;43.263493;-2.948152;53000.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250002442.jpg
1100112;Arena Khimki ;RUS;Khimki;Khimki;55.903806;37.456512;18636.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/1100112.jpg
250001180;Arena Lviv;UKR;Lviv;199, Stryiska street;49.775278;24.027778;34725.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250001180.jpg
87341;Arena Herning;DEN;Herning;Kaj Zartows Vej 5;56.1169028;8.9516889;10082.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/87341.jpg
66333;Hibernians Stadium;MLT;Corradino - Paola;Corradino;35.8829194;14.5131028;2978.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/66333.jpg
64475;Tengiz Burjanadze Stadium ;GEO;Gori;5, Guramishvili Street;41.9830944;44.1038167;4107.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/64475.jpg
1100037;District Sport Complex;MDA;Orhei;Scrisului latin street 13;47.3744278;28.8192417;3300.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/1100037.jpg
76106;Helsinki Football Stadium;FIN;Helsinki- Finland;Urheilukatu 5;60.186969;24.927181;9986.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/76106.jpg
250000801;Pod Malim brdom;MNE;Petrovac;Pod Malim brdom;42.203591;18.945928;1403.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250000801.jpg
63142;Stjörnuvöllur;ISL;Gardabaer;Flatir;64.087383;-21.929115;1040.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/63142.jpg
250002708;KAA Gent Stadium;BEL;Ghent;Ottergemsesteenweg Zuid 808;51.016111;3.734167;20175.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250002708.jpg
250001761;Sammy Ofer Stadium;ISR;Haifa;4;32.783128;34.965079;30874.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250001761.jpg
66333;Hibernians Stadium;MLT;Paola;Corradino;35.8829194;14.5131028;2978.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/66333.jpg
65003;Turner Stadium;ISR;Beer Sheva;Yehuda Halevi Street;31.2538028;34.7859639;16363.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/65003.jpg
250001140;Stadion Stožice;SVN;Ljubljana;Vojkova 1000;46.080641;14.52444;15796.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250001140.jpg
250003157;Seinäjoki Stadium;FIN;Seinajoki;Alaseinäjoenkatu 15;62.782876;22.820236;5672.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250003157.jpg
65011;Stadion Olimp-2;RUS;Rostov-on-Don;Sholokhova Ave 31/6a;48.7122889;44.5071278;15365.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/65011.jpg
250002287;Stadionul Marin Anastasovici;ROU;Giurgiu;Aleaa Fabrica de Zahăr 60 ;43.895191;25.982112;8083.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250002287.jpg
250001051;Dublin Arena;IRL;Dublin;Lansdownde road;53.335691;-6.228819;51700.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250001051.jpg
250002940;OL Stadium;FRA;Décines;10, Avenue Simone Veil;45.765;4.982;58921.0;https://img.uefa.com/imgml/stadium/matchinfo/w1/250002940.jpg
