id;code_name;full_name;country_code;logo
75986;LUS;FC Lusitans;AND;https://img.uefa.com/imgml/TP/teams/logos/70x70/75986.png
93260;ULI;Ulisses FC;ARM;https://img.uefa.com/imgml/TP/teams/logos/70x70/93260.png
79968;KAR;FC Shakhter Karagandy;KAZ;https://img.uefa.com/imgml/TP/teams/logos/70x70/79968.png
2600291;HAP;Hapoel Kiryat Shmona FC;ISR;https://img.uefa.com/imgml/TP/teams/logos/70x70/2600291.png
2603104;LUD;PFC Ludogorets 1945;BUL;https://img.uefa.com/imgml/TP/teams/logos/70x70/2603104.png
53035;MOT;Motherwell FC;SCO;https://img.uefa.com/imgml/TP/teams/logos/70x70/53035.png
74069;MAL;Málaga CF;ESP;https://img.uefa.com/imgml/TP/teams/logos/70x70/74069.png
50128;MON;Montpellier Hérault SC;FRA;https://img.uefa.com/imgml/TP/teams/logos/70x70/50128.png
79940;NRS;FC Nordsjælland;DEN;https://img.uefa.com/imgml/TP/teams/logos/70x70/79940.png
73936;SUT;FK Sutjeska;MNE;https://img.uefa.com/imgml/TP/teams/logos/70x70/73936.png
7607;FOL;CS Fola Esch;LUX;https://img.uefa.com/imgml/TP/teams/logos/70x70/7607.png
2600371;KAL;Nõmme Kalju FC;EST;https://img.uefa.com/imgml/TP/teams/logos/70x70/2600371.png
87914;DAU;FC Daugava Daugavpils;LVA;https://img.uefa.com/imgml/TP/teams/logos/70x70/87914.png
50102;MET;FC Metalist Kharkiv;UKR;https://img.uefa.com/imgml/TP/teams/logos/70x70/50102.png
89675;ZUL;SV Zulte Waregem;BEL;https://img.uefa.com/imgml/TP/teams/logos/70x70/89675.png
75817;PAÇ;FC Paços de Ferreira;POR;https://img.uefa.com/imgml/TP/teams/logos/70x70/75817.png
77866;URA;FC Urartu;ARM;https://img.uefa.com/imgml/TP/teams/logos/70x70/77866.png
64508;LAF;La Fiorita 1967;SMR;https://img.uefa.com/imgml/TP/teams/logos/70x70/64508.png
2605572;LRI;Lincoln Red Imps FC;GIB;https://img.uefa.com/imgml/TP/teams/logos/70x70/2605572.png
60609;QRB;Qarabağ FK;AZE;https://img.uefa.com/imgml/TP/teams/logos/70x70/60609.png
64507;FOL;SS Folgore;SMR;https://img.uefa.com/imgml/TP/teams/logos/70x70/64507.png
75795;MID;FC Midtjylland;DEN;https://img.uefa.com/imgml/TP/teams/logos/70x70/75795.png
2600714;;FC Milsami Orhei;MDA;https://img.uefa.com/imgml/TP/teams/logos/70x70/2600714.png
2600605;AST;FC Astana;KAZ;https://img.uefa.com/imgml/TP/teams/logos/70x70/2600605.png
64315;TRE;AS Trenčín;SVK;https://img.uefa.com/imgml/TP/teams/logos/70x70/64315.png
64467;DIL;FC Dila Gori;GEO;https://img.uefa.com/imgml/TP/teams/logos/70x70/64467.png
52308;STJ;Stjarnan;ISL;https://img.uefa.com/imgml/TP/teams/logos/70x70/52308.png
2605268;ALA;Alashkert FC;ARM;https://img.uefa.com/imgml/TP/teams/logos/70x70/2605268.png
59340;HAP;Hapoel Beer-Sheva FC;ISR;https://img.uefa.com/imgml/TP/teams/logos/70x70/59340.png
2602520;SJK;SJK Seinäjoki;FIN;https://img.uefa.com/imgml/TP/teams/logos/70x70/2602520.png
2606320;LIE;FK Liepāja;LVA;https://img.uefa.com/imgml/TP/teams/logos/70x70/2606320.png
2600103;TGD;OFK Titograd;MNE;https://img.uefa.com/imgml/TP/teams/logos/70x70/2600103.png
64500;ROS;FC Rostov;RUS;https://img.uefa.com/imgml/TP/teams/logos/70x70/64500.png
69611;AST;FC Astra Giurgiu;ROU;https://img.uefa.com/imgml/TP/teams/logos/70x70/69611.png
53577;LEI;Leicester City FC;ENG;https://img.uefa.com/imgml/TP/teams/logos/70x70/53577.png
2608283;TRE;KF Trepça’89;KOS;https://img.uefa.com/imgml/TP/teams/logos/70x70/2608283.png
2605474;FCI;FCI Tallinn;EST;https://img.uefa.com/imgml/TP/teams/logos/70x70/2605474.png
2606416;CEU;Europa FC;GIB;https://img.uefa.com/imgml/TP/teams/logos/70x70/2606416.png
59884;SAM;FC Samtredia;GEO;https://img.uefa.com/imgml/TP/teams/logos/70x70/59884.png
2602918;SPA;FK Spartaks Jūrmala;LVA;https://img.uefa.com/imgml/TP/teams/logos/70x70/2602918.png
2604186;KUK;FK Kukësi;ALB;https://img.uefa.com/imgml/TP/teams/logos/70x70/2604186.png
