season;federation;points
2011-2012;FIN;1.826
2011-2012;AZE;1.241
2011-2012;GEO;1.733
2011-2012;KAZ;1.066
2011-2012;IRL;1.475
2011-2012;LTU;1.375
2011-2012;BIH;1.683
2011-2012;ISL;1.066
2011-2012;EST;0.533
2011-2012;ARM;0.441
2011-2012;MNE;0.875
2011-2012;LIE;0.8
2011-2012;WAL;0.549
2011-2012;LUX;0.466
2011-2012;FRO;0.283
2011-2012;ALB;0.783
2011-2012;NIR;0.516
2011-2012;MLT;0.616
2011-2012;AND;0.2
2011-2012;SMR;0.183
2012-2013;ESP;17.605
2012-2013;GER;15.922
2012-2013;ENG;16.592
2012-2013;ITA;12.829
2012-2013;POR;11.833
2012-2013;FRA;11.8
2012-2013;UKR;9.951
2012-2013;RUS;9.266
2012-2013;NED;8.945
2012-2013;SUI;5.785
2012-2013;GRE;6.8
2012-2013;TUR;6.9
2012-2013;DEN;5.14
2012-2013;BEL;6.88
2012-2013;BLR;4.175
2012-2013;SCO;3.038
2012-2013;ROU;4.604
2012-2013;CYP;5.366
2012-2013;ISR;4.575
2012-2013;CZE;4.745
2012-2013;AUT;5.075
2012-2013;CRO;3.916
2012-2013;POL;4.15
2012-2013;SRB;2.925
2012-2013;NOR;2.835
2012-2013;SVK;2.841
2012-2013;BUL;2.45
2012-2013;MDA;1.533
2012-2013;SVN;1.941
2012-2013;HUN;2.35
2012-2013;SWE;3.125
2012-2013;FIN;1.701
2012-2013;LVA;1.158
2012-2013;LTU;1.3
2012-2013;KAZ;1.191
2012-2013;IRL;1.475
2012-2013;GEO;1.833
2012-2013;AZE;1.708
2012-2013;BIH;1.566
2012-2013;ISL;1.083
2012-2013;MKD;1.05
2012-2013;LUX;0.675
2012-2013;EST;0.441
2012-2013;NIR;0.616
2012-2013;MLT;0.791
2012-2013;WAL;0.516
2012-2013;ARM;0.35
2012-2013;MNE;1.05
2012-2013;ALB;0.833
2012-2013;LIE;0.7
2012-2013;FRO;0.316
2012-2013;AND;0.1
2012-2013;SMR;0.133
2013-2014;ESP;19.542
2013-2014;GER;16.328
2013-2014;ENG;16.949
2013-2014;POR;12.459
2013-2014;ITA;13.387
2013-2014;FRA;11.3
2013-2014;UKR;8.193
2013-2014;SUI;6.645
2013-2014;RUS;9.399
2013-2014;GRE;6.72
2013-2014;NED;8.862
2013-2014;TUR;6.84
2013-2014;BEL;7.26
2013-2014;AUT;6.185
2013-2014;DEN;4.26
2013-2014;CZE;5.87
2013-2014;ROU;5.451
2013-2014;CYP;4.65
2013-2014;SCO;3.313
2013-2014;BLR;3.725
2013-2014;ISR;5.375
2013-2014;CRO;3.925
2013-2014;BUL;3.125
2013-2014;POL;3.775
2013-2014;MDA;2.075
2013-2014;SVN;2.2
2013-2014;SRB;2.825
2013-2014;NOR;2.855
2013-2014;SWE;3.265
2013-2014;HUN;2.325
2013-2014;SVK;2.2
2013-2014;KAZ;1.65
2013-2014;LVA;1.25
2013-2014;AZE;2.075
2013-2014;FIN;1.435
2013-2014;LTU;1.05
2013-2014;GEO;1.975
2013-2014;ISL;1.35
2013-2014;BIH;1.5
2013-2014;IRL;1.025
2009-2010;SWE;2.838
2009-2010;MDA;1.458
2009-2010;HUN;1.35
2009-2010;LVA;1.649
2009-2010;IRL;1.908
2009-2010;SVN;1.391
2009-2010;BIH;1.749
2009-2010;MKD;1.066
2009-2010;FIN;1.899
2009-2010;LTU;1.683
2009-2010;AZE;1.099
2009-2010;KAZ;0.899
2009-2010;EST;0.874
2009-2010;GEO;1.149
2009-2010;ISL;1.083
2009-2010;LIE;0.9
2009-2010;ALB;0.799
2009-2010;ARM;0.599
2009-2010;WAL;0.516
2009-2010;MNE;0.425
2009-2010;FRO;0.366
2009-2010;NIR;0.324
2009-2010;LUX;0.249
2009-2010;AND;0.2
2009-2010;MLT;0.183
2009-2010;SMR;0.15
2010-2011;ENG;17.157
2010-2011;ESP;16.465
2010-2011;GER;13.887
2010-2011;POR;10.319
2010-2011;ITA;12.11
2010-2011;FRA;10.735
2010-2011;UKR;8.776
2010-2011;NED;8.025
2010-2011;RUS;8.941
2010-2011;GRE;6.833
2010-2011;SCO;5.028
2010-2011;DEN;6.11
2010-2011;TUR;7.01
2010-2011;BEL;5.4
2010-2011;SUI;4.98
2010-2011;ISR;4.4
2010-2011;CZE;4.17
2010-2011;ROU;5.164
2010-2011;BLR;3.216
2010-2011;AUT;4.14
2010-2011;POL;3.183
2010-2011;CRO;3.224
2010-2011;NOR;2.875
2010-2011;SRB;2.85
2010-2011;CYP;3.624
2010-2011;BUL;3.575
2010-2011;SVK;2.899
2010-2011;SWE;2.825
2010-2011;MDA;1.549
2010-2011;HUN;1.7
2010-2011;LVA;1.483
2010-2011;IRL;1.741
2010-2011;AZE;1.233
2010-2011;SVN;1.224
2010-2011;MKD;1.041
2010-2011;KAZ;0.874
2010-2011;BIH;1.824
2010-2011;FIN;1.793
2010-2011;LTU;1.541
2010-2011;GEO;1.391
2010-2011;EST;0.758
2010-2011;ISL;0.991
2010-2011;ARM;0.516
2010-2011;WAL;0.558
2010-2011;LIE;0.8
2010-2011;MNE;0.775
2010-2011;ALB;0.774
2010-2011;FRO;0.283
2010-2011;MLT;0.483
2010-2011;AND;0.2
2010-2011;NIR;0.449
2010-2011;LUX;0.274
2010-2011;SMR;0.183
2011-2012;ESP;16.837
2011-2012;ENG;16.882
2011-2012;GER;15.037
2011-2012;ITA;11.996
2011-2012;POR;11.069
2011-2012;FRA;10.835
2011-2012;UKR;9.026
2011-2012;RUS;9.566
2011-2012;NED;9.103
2011-2012;GRE;7.42
2011-2012;SUI;5.36
2011-2012;BEL;6.48
2011-2012;DEN;5.505
2011-2012;SCO;4.228
2011-2012;TUR;6.81
2011-2012;CYP;5.099
2011-2012;ISR;4.4
2011-2012;BLR;3.641
2011-2012;AUT;5.265
2011-2012;ROU;3.764
2011-2012;CZE;4.07
2011-2012;CRO;3.774
2011-2012;POL;3.983
2011-2012;NOR;2.935
2011-2012;SVK;2.974
2011-2012;SRB;2.85
2011-2012;SWE;3.18
2011-2012;BUL;2.85
2011-2012;MDA;1.349
2011-2012;HUN;1.95
2011-2012;SVN;1.424
2011-2012;LVA;1.174
2011-2012;MKD;1.133
2015-2016;NIR;0.9
2015-2016;EST;0.85
2015-2016;ARM;0.825
2015-2016;MNE;0.975
2015-2016;FRO;0.725
2015-2016;AND;0.199
2015-2016;GIB;0.2
2015-2016;SMR;0.066
2016-2017;ESP;20.999
2016-2017;GER;15.899
2016-2017;ITA;14.666
2016-2017;FRA;11.333
2016-2017;POR;9.866
2016-2017;ENG;15.192
2016-2017;UKR;8.526
2016-2017;RUS;10.106
2016-2017;SUI;6.415
2016-2017;NED;6.212
2016-2017;GRE;5.58
2016-2017;TUR;7.84
2016-2017;BEL;8.48
2016-2017;CZE;6.635
2016-2017;SCO;3.785
2016-2017;AUT;5.07
2016-2017;DEN;4.8
2016-2017;ROU;4.87
2016-2017;BUL;3.175
2016-2017;BLR;3.975
2016-2017;POL;3.95
2016-2017;CYP;3.71
2016-2017;CRO;5.05
