match_id;winner_match;reason_match;winner_aggregate;reason_aggregate
56894;50067;WIN_REGULAR;50067;WIN_ON_AGGREGATE
56912;52268;WIN_REGULAR;52268;WIN_ON_AGGREGATE
56916;;DRAW;50062;WIN_ON_AGGREGATE
56900;;DRAW;50142;WIN_ON_AWAY_GOAL
56904;;DRAW;50164;WIN_ON_AGGREGATE
56910;;DRAW;52341;WIN_ON_AGGREGATE
56896;52817;WIN_REGULAR;52817;WIN_ON_AGGREGATE
56908;52819;WIN_REGULAR;52819;WIN_ON_EXTRA_TIME
56914;5451;WIN_REGULAR;5451;WIN_ON_AGGREGATE
56892;52914;WIN_REGULAR;52914;WIN_ON_AGGREGATE
56906;50121;WIN_REGULAR;50121;WIN_ON_AGGREGATE
56889;50111;WIN_REGULAR;50111;WIN_ON_AGGREGATE
56897;52817;WIN_REGULAR;52817;WIN_ON_AGGREGATE
56899;;DRAW;52723;WIN_ON_AGGREGATE
56915;;DRAW;5451;WIN_ON_AGGREGATE
56893;;DRAW;52914;WIN_ON_AGGREGATE
56911;52341;WIN_REGULAR;52341;WIN_ON_AGGREGATE
56917;50062;WIN_REGULAR;50062;WIN_ON_AGGREGATE
56905;50164;WIN_REGULAR;50164;WIN_ON_AGGREGATE
56919;50068;WIN_REGULAR;50068;WIN_ON_AGGREGATE
56888;52758;WIN_REGULAR;52758;WIN_ON_AGGREGATE
56895;50067;WIN_REGULAR;50067;WIN_ON_AGGREGATE
56903;57490;WIN_REGULAR;57490;WIN_ON_AGGREGATE
56890;;DRAW;50111;WIN_ON_AGGREGATE
56907;54262;WIN_REGULAR;50121;WIN_ON_AGGREGATE
56901;;DRAW;50142;WIN_ON_AWAY_GOAL
56909;50021;WIN_REGULAR;52819;WIN_ON_EXTRA_TIME
56913;52268;WIN_REGULAR;52268;WIN_ON_AGGREGATE
57052;;DRAW;;
57053;57490;WIN_REGULAR;;
57064;50080;WIN_REGULAR;;
57065;;DRAW;;
57076;52806;WIN_REGULAR;;
57077;;DRAW;;
57088;;DRAW;;
57089;52748;WIN_REGULAR;;
57100;;DRAW;;
57101;50064;WIN_REGULAR;;
57112;50037;WIN_REGULAR;;
57113;52268;WIN_REGULAR;;
57124;;DRAW;;
57125;50068;WIN_REGULAR;;
57136;;DRAW;;
57137;;DRAW;;
57126;;DRAW;;
57102;50064;WIN_REGULAR;;
57103;50051;WIN_REGULAR;;
57114;;DRAW;;
57115;;DRAW;;
57127;50127;WIN_REGULAR;;
57138;5451;WIN_REGULAR;;
57139;50058;WIN_REGULAR;;
57054;50109;WIN_REGULAR;;
57055;52973;WIN_REGULAR;;
57066;52280;WIN_REGULAR;;
57067;50080;WIN_REGULAR;;
57078;52758;WIN_REGULAR;;
57079;;DRAW;;
57090;52682;WIN_REGULAR;;
57091;52748;WIN_REGULAR;;
57104;50051;WIN_REGULAR;;
57105;2610;WIN_REGULAR;;
57116;50121;WIN_REGULAR;;
57117;;DRAW;;
57128;50127;WIN_REGULAR;;
57129;50033;WIN_REGULAR;;
57140;;DRAW;;
57141;52914;WIN_REGULAR;;
57056;52973;WIN_REGULAR;;
57057;;DRAW;;
57068;;DRAW;;
57069;;DRAW;;
57080;;DRAW;;
57081;;DRAW;;
57092;50164;WIN_REGULAR;;
57093;52682;WIN_REGULAR;;
57058;52973;WIN_REGULAR;;
57059;52723;WIN_REGULAR;;
57070;50080;WIN_REGULAR;;
57071;52817;WIN_REGULAR;;
57082;52806;WIN_REGULAR;;
57083;;DRAW;;
57094;50111;WIN_REGULAR;;
57095;52748;WIN_REGULAR;;
57130;50127;WIN_REGULAR;;
57106;50064;WIN_REGULAR;;
57107;50142;WIN_REGULAR;;
57118;50121;WIN_REGULAR;;
57119;;DRAW;;
57131;50033;WIN_REGULAR;;
57142;5451;WIN_REGULAR;;
57143;52914;WIN_REGULAR;;
57133;;DRAW;;
57108;50051;WIN_REGULAR;;
57109;50064;WIN_REGULAR;;
57120;50062;WIN_REGULAR;;
57121;52268;WIN_REGULAR;;
57132;;DRAW;;
57144;;DRAW;;
57145;50067;WIN_REGULAR;;
57060;;DRAW;;
57061;52723;WIN_REGULAR;;
57072;50080;WIN_REGULAR;;
57073;52817;WIN_REGULAR;;
57084;52806;WIN_REGULAR;;
57085;;DRAW;;
57096;52682;WIN_REGULAR;;
57097;50111;WIN_REGULAR;;
57062;;DRAW;;
57063;52973;WIN_REGULAR;;
57074;52280;WIN_REGULAR;;
57075;;DRAW;;
57086;52819;WIN_REGULAR;;
57087;52749;WIN_REGULAR;;
57098;52682;WIN_REGULAR;;
57099;;DRAW;;
57110;2610;WIN_REGULAR;;
57111;50051;WIN_REGULAR;;
57122;52268;WIN_REGULAR;;
57123;50037;WIN_REGULAR;;
57134;50033;WIN_REGULAR;;
57135;;DRAW;;
57146;52914;WIN_REGULAR;;
57147;50067;WIN_REGULAR;;
57591;;DRAW;;
57592;50064;WIN_REGULAR;;
57603;52817;WIN_REGULAR;;
57604;52268;WIN_REGULAR;;
57615;50051;WIN_REGULAR;;
57616;;DRAW;;
57627;52973;WIN_REGULAR;;
57628;52914;WIN_REGULAR;;
57617;50037;WIN_REGULAR;;
57618;50051;WIN_REGULAR;;
57629;52749;WIN_REGULAR;;
57630;;DRAW;;
57593;50064;WIN_REGULAR;;
57594;50080;WIN_REGULAR;;
57605;;DRAW;;
57606;52682;WIN_REGULAR;;
57620;52723;WIN_REGULAR;;
57619;50037;WIN_REGULAR;;
57631;52749;WIN_REGULAR;;
57632;52748;WIN_REGULAR;;
57595;50080;WIN_REGULAR;;
57596;;DRAW;;
57608;52817;WIN_REGULAR;;
57607;52682;WIN_REGULAR;;
57597;50080;WIN_REGULAR;;
57598;50033;WIN_REGULAR;;
57609;52682;WIN_REGULAR;;
57610;52268;WIN_REGULAR;;
57621;50037;WIN_REGULAR;;
57622;52723;WIN_REGULAR;;
57633;;DRAW;;
57634;52914;WIN_REGULAR;;
57623;;DRAW;;
57624;50037;WIN_REGULAR;;
57635;52973;WIN_REGULAR;;
57636;52914;WIN_REGULAR;;
57599;50080;WIN_REGULAR;;
57600;;DRAW;;
57611;52682;WIN_REGULAR;;
57612;52268;WIN_REGULAR;;
57601;50080;WIN_REGULAR;;
57602;50064;WIN_REGULAR;;
57613;;DRAW;;
57614;;DRAW;;
57625;52723;WIN_REGULAR;;
57626;50051;WIN_REGULAR;;
57637;;DRAW;;
57638;52973;WIN_REGULAR;;
63647;;DRAW;50051;WIN_ON_AGGREGATE
63649;;DRAW;50037;WIN_ON_AGGREGATE
63651;52914;WIN_REGULAR;50080;WIN_ON_EXTRA_TIME
63653;52268;WIN_REGULAR;52268;WIN_ON_AGGREGATE
63652;50080;WIN_REGULAR;50080;WIN_ON_EXTRA_TIME
63654;52973;WIN_REGULAR;52268;WIN_ON_AGGREGATE
63648;50051;WIN_REGULAR;50051;WIN_ON_AGGREGATE
63650;50037;WIN_REGULAR;50037;WIN_ON_AGGREGATE
64410;52268;WIN_REGULAR;52268;WIN_ON_AGGREGATE
64412;50051;WIN_REGULAR;50051;WIN_ON_AGGREGATE
64413;50037;WIN_REGULAR;50051;WIN_ON_AGGREGATE
64411;50080;WIN_REGULAR;52268;WIN_ON_AGGREGATE
64833;50051;WIN_REGULAR;;
65171;;DRAW;66168;WIN_ON_AGGREGATE
65175;57479;WIN_REGULAR;64370;WIN_ON_EXTRA_TIME
65167;60577;WIN_REGULAR;60577;WIN_ON_AGGREGATE
65169;59036;WIN_REGULAR;59036;WIN_ON_AGGREGATE
65173;52802;WIN_REGULAR;52802;WIN_ON_AWAY_GOAL
65165;52307;WIN_REGULAR;52307;WIN_ON_AGGREGATE
65159;50069;WIN_REGULAR;50069;WIN_ON_AGGREGATE
65163;53020;WIN_REGULAR;53020;WIN_ON_AGGREGATE
65177;50044;WIN_REGULAR;50044;WIN_ON_AGGREGATE
65161;;DRAW;60501;WIN_ON_AGGREGATE
65176;64370;WIN_REGULAR;64370;WIN_ON_EXTRA_TIME
65162;60501;WIN_REGULAR;60501;WIN_ON_AGGREGATE
65170;59036;WIN_REGULAR;59036;WIN_ON_AGGREGATE
65168;75759;WIN_REGULAR;60577;WIN_ON_AGGREGATE
65172;66168;WIN_REGULAR;66168;WIN_ON_AGGREGATE
65178;50044;WIN_REGULAR;50044;WIN_ON_AGGREGATE
65160;50069;WIN_REGULAR;50069;WIN_ON_AGGREGATE
65164;;DRAW;53020;WIN_ON_AGGREGATE
65174;50134;WIN_REGULAR;52802;WIN_ON_AWAY_GOAL
65166;52307;WIN_REGULAR;52307;WIN_ON_AGGREGATE
65562;59036;WIN_REGULAR;59036;WIN_ON_AGGREGATE
65564;52707;WIN_REGULAR;52707;WIN_ON_AGGREGATE
65546;52498;WIN_REGULAR;52498;WIN_ON_AGGREGATE
65554;;DRAW;50100;WIN_ON_EXTRA_TIME
65550;50021;WIN_REGULAR;50021;WIN_ON_AGGREGATE
65558;;DRAW;60401;WIN_ON_AGGREGATE
65560;50157;WIN_REGULAR;50157;WIN_ON_AGGREGATE
65506;58955;WIN_REGULAR;58955;WIN_ON_AGGREGATE
65510;50074;WIN_REGULAR;50074;WIN_ON_AGGREGATE
65556;50069;WIN_REGULAR;50069;WIN_ON_AGGREGATE
65512;69169;WIN_REGULAR;69169;WIN_ON_AGGREGATE
65508;50111;WIN_REGULAR;50111;WIN_ON_AGGREGATE
65552;50121;WIN_REGULAR;50121;WIN_ON_AGGREGATE
65548;52806;WIN_REGULAR;52806;WIN_ON_AGGREGATE
65547;52498;WIN_REGULAR;52498;WIN_ON_AGGREGATE
65553;;DRAW;50121;WIN_ON_AGGREGATE
65557;64471;WIN_REGULAR;50069;WIN_ON_AGGREGATE
65565;52707;WIN_REGULAR;52707;WIN_ON_AGGREGATE
65509;50111;WIN_REGULAR;50111;WIN_ON_AGGREGATE
65559;60401;WIN_REGULAR;60401;WIN_ON_AGGREGATE
65511;;DRAW;50074;WIN_ON_AGGREGATE
65561;;DRAW;50157;WIN_ON_AGGREGATE
65507;58955;WIN_REGULAR;58955;WIN_ON_AGGREGATE
65555;;DRAW;50100;WIN_ON_EXTRA_TIME
65563;57490;WIN_REGULAR;59036;WIN_ON_AGGREGATE
65551;;DRAW;50021;WIN_ON_AGGREGATE
65513;;DRAW;69169;WIN_ON_AGGREGATE
65549;;DRAW;52806;WIN_ON_AGGREGATE
65610;5312;WIN_REGULAR;5312;WIN_ON_AGGREGATE
65602;50033;WIN_REGULAR;50033;WIN_ON_AGGREGATE
65604;52167;WIN_REGULAR;52167;WIN_ON_AGGREGATE
65620;50111;WIN_REGULAR;50111;WIN_ON_AGGREGATE
65608;50157;WIN_REGULAR;50157;WIN_ON_AGGREGATE
